ID,ride_time,dispatch_time,ride_lat,ride_lon,alight_lat,alight_lon,taxi_type,type
32,1382,0,37.43450546,127.16424561,37.39865875,127.27563477,1,0
33,1396,0,37.43883896,127.14292145,37.43388748,127.13127136,1,0
34,1382,0,37.39622968,127.11090234,37.43262863,126.99223584,1,0
35,1390,0,37.4354485,127.1398617,37.45856992,127.15855177,1,0
36,1385,0,37.40147781,127.10586548,37.32611847,127.1127243,1,0
37,1396,0,37.4479866,127.15807343,37.43874359,127.14510345,1,0
38,1394,0,37.42979431,127.15153503,37.4317131,127.2060318,1,0
39,1398,0,37.44580507,127.1635697,37.45209278,127.16009998,1,0
40,1386,0,37.46196959,127.12687088,37.50436887,127.11982361,1,0
41,1397,0,37.43355179,127.13414001,37.43077087,127.12617493,1,0
42,1397,0,37.41166493,127.12952362,37.42013549,127.1165127,1,0
43,1384,0,37.44102478,127.14441681,37.4332962,127.22316742,1,0
44,1392,0,37.40179442,127.11176173,37.4115154,127.13385799,1,0
45,1388,0,37.35000883,127.10864836,37.318621,127.09724715,1,0
46,1394,0,37.36040115,127.10793304,37.37460327,127.1357193,1,0
47,1386,0,37.41242218,127.12908173,37.45529938,127.16057587,1,0
48,1394,0,37.38567274,127.12521995,37.41332291,127.13634291,1,0
49,1389,0,37.43225609,127.12921754,37.44328884,127.15072067,1,0
50,1392,0,37.39623044,127.11105243,37.39314469,127.0738809,1,0
51,1400,0,37.45130157,127.15991211,37.44333649,127.15110779,1,0
52,1390,0,37.38342667,127.12129211,37.32408905,127.10228729,1,0
53,1390,0,37.36881996,127.13477847,37.42596131,127.10816804,1,0
54,1399,0,37.44612462,127.16139152,37.45801116,127.15871066,1,0
55,1395,0,37.40158844,127.11177826,37.37343979,127.07044983,1,0
56,1391,0,37.3998642,127.12072754,37.36515427,127.12612915,1,0
57,1393,0,37.43503952,127.14035797,37.41131592,127.16339874,1,0
58,1397,0,37.36227722,127.10811215,37.33856766,127.12001332,1,0
59,1393,0,37.37751389,127.13318634,37.34746933,127.1807251,1,0
60,1385,0,37.34106246,127.10891025,37.24517159,127.06656649,1,0
61,1393,0,37.36256321,127.11328256,37.42910322,127.12875944,1,0
62,1395,0,37.38049316,127.10479736,37.41440582,127.13392639,1,0
63,1394,0,37.43237883,127.12893345,37.39095254,127.11787107,1,0
64,1390,0,37.41241837,127.12805176,37.33235931,127.09624481,1,0
65,1402,0,37.44110489,127.15984344,37.43608856,127.16070557,1,0
66,1398,0,37.41232583,127.1282531,37.396195,127.11660507,1,0
67,1402,0,37.43411209,127.15911174,37.44086749,127.17010223,1,0
68,1395,0,37.36895752,127.1115799,37.3755188,127.14476013,1,0
69,1395,0,37.44282716,127.13582606,37.45106327,127.15888101,1,0
70,1396,0,37.44260374,127.13593071,37.43957956,127.16376582,1,0
71,1398,0,37.38519372,127.13491374,37.40321799,127.10926602,1,0
72,1406,0,37.45088859,127.15908358,37.45088859,127.15908358,1,0
73,1393,0,37.3656142,127.10664751,37.43559625,127.13931742,1,0
74,1402,0,37.35123825,127.10630035,37.36341476,127.11226654,1,0
75,1386,0,37.40216827,127.11176172,37.29661167,127.06828742,1,0
76,1401,0,37.4133597,127.13047125,37.40799296,127.12006698,1,0
77,1397,0,37.40431976,127.10549927,37.38696289,127.07371521,1,0
78,1394,0,37.35011673,127.1068573,37.34246063,127.06677246,1,0
79,1396,0,37.33807596,127.1104878,37.39984957,127.11691226,1,0
80,1396,0,37.4332428,127.13095093,37.43138885,127.17549896,1,0
81,1385,0,37.43284637,127.13105853,37.35456063,127.14775477,1,0
82,1393,0,37.3880806,127.12261963,37.44823837,127.15800476,1,0
83,1391,0,37.36574173,127.10778046,37.31291199,127.07237244,1,0
84,1382,0,37.39524078,127.10955811,37.28270721,127.02857208,1,0
85,1401,0,37.4311919,127.12908644,37.38983423,127.11771275,1,0
86,1402,0,37.39077759,127.08074188,37.37122726,127.10066986,1,0
87,1399,0,37.40982553,127.12985914,37.38426434,127.13008734,1,0
88,1403,0,37.43874436,127.16073922,37.43429276,127.13655791,1,0
89,1402,0,37.37924576,127.11547089,37.36462402,127.12879181,1,0
90,1404,0,37.43511581,127.14174652,37.45932388,127.16175079,1,0
91,1404,0,37.44760513,127.139328,37.44901276,127.12651825,1,0
92,1408,0,37.44017535,127.16231781,37.43620054,127.16072109,1,0
93,1404,0,37.4349428,127.14178142,37.45133704,127.16803331,1,0
94,1393,0,37.37105581,127.14482944,37.34270044,127.12471182,1,0
95,1396,0,37.40422821,127.09954834,37.4290123,127.1333847,1,0
96,1411,0,37.43233672,127.12920654,37.436698,127.13966343,1,0
97,1400,0,37.43240356,127.12902832,37.36885834,127.11491394,1,0
98,1384,0,37.36669359,127.12673374,37.54390506,127.19810866,1,0
99,1400,0,37.43355179,127.13254547,37.37305832,127.11486053,1,0
100,1404,0,37.36645889,127.10784149,37.33467484,127.11589813,1,0
101,1397,0,37.40074602,127.11176176,37.50372438,127.02203131,1,0
102,1408,0,37.44243467,127.15224951,37.44285699,127.13836008,1,0
103,1387,0,37.4023819,127.10909271,37.19241333,127.08002472,1,0
104,1401,0,37.39440195,127.10968715,37.44260993,127.1359278,1,0
105,1405,0,37.44253159,127.15457916,37.45675659,127.16418457,1,0
106,1401,0,37.3866373,127.12392306,37.44532116,127.14455922,1,0
107,1411,0,37.44409561,127.15486908,37.44015503,127.1279068,1,0
108,1407,0,37.43211746,127.12895966,37.4141922,127.20370483,1,0
109,1396,0,37.39584181,127.10966644,37.32516857,127.11817961,1,0
110,1406,0,37.41219386,127.1295236,37.3664026,127.14196628,1,0
111,1400,0,37.41143489,127.13893548,37.36581353,127.12707287,1,0
112,1383,0,37.39261021,127.06816622,37.47810391,126.95727444,1,0
113,1409,0,37.37232208,127.11503601,37.35339355,127.11106873,1,0
114,1411,0,37.38858077,127.12405905,37.37876049,127.13796182,1,0
115,1390,0,37.39542915,127.10967119,37.27500932,127.11596616,1,0
116,1409,0,37.43455584,127.13464555,37.44797994,127.14533082,1,0
117,1409,0,37.41234374,127.12904099,37.39078282,127.11683449,1,0
118,1410,0,37.4406327,127.15982695,37.43563545,127.14019357,1,0
119,1397,0,37.43789828,127.15982241,37.49517158,127.15306362,1,0
120,1389,0,37.43209457,127.12908936,37.30108643,127.33290863,1,0
121,1385,0,37.39985657,127.10850525,37.1752739,127.10384369,1,0
122,1399,0,37.44207764,127.15044403,37.49047852,127.06158447,1,0
123,1402,0,37.44455719,127.1787796,37.39852905,127.27944946,1,0
124,1410,0,37.35004172,127.10682627,37.37322939,127.07014035,1,0
125,1409,0,37.36481094,127.117836,37.37322617,127.07062531,1,0
126,1401,0,37.41239929,127.12914276,37.44959259,127.17236328,1,0
127,1389,0,37.40227606,127.11176172,37.47261724,126.97909653,1,0
128,1406,0,37.41228135,127.12844818,37.35549116,127.14706289,1,0
129,1412,0,37.38307571,127.12094879,37.36772156,127.14196014,1,0
130,1413,0,37.41687462,127.13007979,37.44172713,127.13454489,1,0
131,1415,0,37.3753408,127.13752359,37.38650056,127.12532076,1,0
132,1416,0,37.43230245,127.12921093,37.44878454,127.13110443,1,0
133,1415,0,37.36606598,127.10829163,37.36486816,127.12379456,1,0
134,1384,0,37.39611816,127.11081696,37.28467178,127.4405365,1,0
135,1413,0,37.42827988,127.1452713,37.44507599,127.16146851,1,0
136,1407,0,37.37902069,127.11418152,37.45236206,127.14922333,1,0
137,1417,0,37.4487915,127.15881348,37.44229126,127.15405273,1,0
